"as 
", |æz|,"как, согласно, как, так как, когда, какой, что, который, в качестве, в виде","-->>> Do as I say!-->>> As you are ready, let's go.-->>> He did the same thing as you.-->>> As a writer, he's wonderful.-->>> He was employed as a teacher.-->>> The money was repaid, as promised.-->>> David, as you know, has not been well lately.-->>> I must stop work now as I have to go out.-->>> I met him as I was leaving.-->>> As you can see, he is alone.-->>> A flat stone was used as a table.-->>> He is a foreigner, as is evident from his accent.-->>> They want peace as much as we do.-->>> As Napoleon once said, attack is the best method of defence.-->>> As I explained on the phone, your request will be considered at the next meeting.-->>> Roberta was late as usual (=in the way that she usually was).-->>> Dad dressed up as Santa Claus.-->>> Unlikely as it might seem, I'm tired too.-->>> The thought occurred to me as I was watching the procession.-->>> He had often been ill as a child.-->>> It tasted as grape juice but not as sweet.-->>> I'll behave toward them as I would like to be treated.-->>> We'd better leave things as they are until the police arrive.-->>> Tom's not as old as you, is he?-->>> This is regarded as his best novel.-->>> Nylon is cheaper than leather, and it's just as strong.-->>> He did not need to keep moving house, as his father had.-->>> The book was banned in the US, as were two subsequent books.-->>> I can't run as fast as I used to.-->>> A Portrait of the Artist as a Young Man.","-->>> Делай, как я говорю!-->>> Раз ты готов, пойдём.-->>> Он сделал то же, что и ты.-->>> Как писатель он великолепен.-->>> Он работал учителем.-->>> Деньги, как и обещано, были возвращены.-->>> Дэвиду, как вы знаете, в последнее время нездоровится.-->>> Я должен прекратить работу, так как мне нужно идти.-->>> Я встретил его, когда уезжал.-->>> Как видишь, он один.-->>> Плоский камень использовался в качестве стола.-->>> Он иностранец, что заметно по его акценту.-->>> Они хотят мира так же, как и мы. / Они нуждаются в мире не меньше нас.-->>> Как однажды сказал Наполеон, нападение — лучший способ защиты.-->>> Как я уже объяснил по телефону, ваш запрос будет рассмотрен на следующем заседании.-->>> Роберта, как обычно, опаздывала (т.е поступала по своему обыкновению).-->>> Папа оделся в костюм Санта-Клауса.-->>> Как ни удивительно это может показаться, я тоже устал.-->>> Эта мысль пришла мне в голову, когда я наблюдал за процессией.-->>> В детстве он часто болел.-->>> На вкус он был как виноградный сок, но не такой сладкий.-->>> Я буду вести себя с ними так, как хотел бы, чтобы обращались со мной.-->>> Нам лучше оставить всё, как есть, до прибытия полиции.-->>> Ведь вы с Томом не ровесники, так? / Тому ведь не столько же лет, сколько тебе, правда?-->>> Это считается лучшим его романом.-->>> Нейлон дешевле кожи, но он такой же прочный.-->>> Ему уже не нужно было постоянно переезжать с места на место, как делал его отец.-->>> Эта книга, как и две последующие, была запрещена в США.-->>> Я не могу бежать так быстро, как раньше.-->>> Портрет художника в юности. (название романа Дж.Джойса)",
"I 
", |aɪ|,,,,
"his 
", |hɪz|,"его, свое, свой, принадлежащий ему, принадлежащий ему",-->>> This ball is his.-->>> His nose is very long.-->>> John sold his house.-->>> He brought my coat and his.-->>> He bought his own house.-->>> I saw her parents but I didn't see his.-->>> His house is out in the country.-->>> He knows his physics.-->>> It's his turn to play.-->>> I would like to read some of his essays.-->>> He sat quietly at his desk.-->>> He was jailed for three years for his crime.,"-->>> Это его мяч.-->>> У него очень длинный нос.-->>> Джон продал свой дом.-->>> Он принёс моё и своё пальто.-->>> Он купил себе дом.-->>> Её-то родителей я видел, а вот его родителей — нет.-->>> Его дом находится в сельской местности.-->>> Он знает физику (в полагающемся ему объеме).-->>> Его очередь играть.-->>> Я хотел бы прочесть некоторые из его сочинений.-->>> Он спокойно сидел за своим столом.-->>> За совершённое преступление его на три года посадили в тюрьму.",
"that 
", |ðæt|,"что, чтобы, который, то, тот, та, так, до такой степени","-->>> That is good, and this is bad.-->>> She knew that he was there.-->>> We need more people like that.-->>> I did not take him that seriously.-->>> I am that I am.-->>> It was necessary to act, and that promptly.-->>> He found it difficult to get that excited.-->>> I know all that is necessary.-->>> What noise was that?-->>> The hair was about that long.-->>> I need a nail about that long.-->>> I didn't realize the book was that long.-->>> What would you do with that much money?-->>> The climate here is like that of France.-->>> She twisted it this way and that way.","-->>> То хорошо, а это плохо.-->>> Она знала, что он был там.-->>> Нам нужны подобные люди.-->>> Я не воспринимала его всерьёз.-->>> Я тот, кто я есть.-->>> Было необходимо действовать, причём быстро.-->>> Ему было сложно так сильно переживать.-->>> Я знаю всё, что нужно.-->>> Что это был за шум?-->>> Волосы были примерно такой длины.-->>> Мне нужен гвоздь вот такой длины.-->>> Я не думал, что книга такая длинная.-->>> Что бы вы сделали с такой кучей денег?-->>> Здешний климат похож на климат во Франции.-->>> Она крутила это так и эдак.",
"he 
", |hiː|,"он, него, мужчина, водящий, взрывчатое вещество","-->>> He was rich.-->>> Everyone should do what he considers best.-->>> Every child needs to know that he is loved.-->>> It was he who first suggested the idea.-->>> He who betrays his king must die.-->>> 'Where's Paul?' 'He's gone to the cinema.'-->>> I discovered that Mel wasn't a he, but a she.-->>> Rex did all sorts of tricks. I cried when he died.-->>> Do we divide dogs into hes and shes, and take the masculine gender out to hunt?","-->>> Он был богат.-->>> Каждый должен делать то, что считает нужным.-->>> Каждому ребёнку нужно знать, что его любят.-->>> Именно он первым предложил эту идею.-->>> Тот, кто предает своего короля, должен умереть.-->>> — Где Пол? — Он ушёл в кино.-->>> Я обнаружил, что ""Мел"" — это не ""он"", а ""она"" (не Мелвин, а Мелани).-->>> Рекс умел выделывать всякие забавные трюки. Я плакал, когда он умер.-->>> Разве мы делим собак на сук и кобелей, и берем с собой на охоту лишь последних?",
"was 
", |wʌz|,"быть, находиться, составлять, происходить, существовать, равняться, стоить, бывать","-->>> He was rich.-->>> That was cool.-->>> Food was short.-->>> She was furious.-->>> It was a setup.-->>> I was in agony.-->>> Alan was silent.-->>> It was just great.-->>> He was overcome.-->>> She was a cutie.-->>> I was here first.-->>> I was young then.-->>> How was the film?-->>> She was indisposed-->>> Boy, was I burned!-->>> She was real cute.-->>> He was dead lucky.-->>> Man, I was pissed.-->>> That was so tacky!","-->>> Он был богат.-->>> Ловко получилось.-->>> Еды было мало.-->>> Она была в ярости.-->>> Это была ловушка.-->>> Я был в агонии. / Я агонизировал. / Я мучительно страдал.-->>> Алан молчал.-->>> Все было просто чудесно.-->>> Ему стало плохо. / Его стошнило.-->>> Она была прелесть.-->>> Я был здесь первым.-->>> Тогда я был молод.-->>> Как фильм?-->>> Ей нездоровилось.-->>> Я был просто в бешенстве.-->>> Она была клевой девушкой.-->>> Ему чертовски везло.-->>> Я рассвирепел, блин.-->>> Как это было грубо!",
"for 
", |fɔːr|,"для, на, за, в, к, в течение, от, ради, из-за, вместо, ибо, ввиду того, что",-->>> Let's go for a walk.-->>> I got it for 5 dollars.-->>> I've got a present for you.-->>> It's cold for July.-->>> It was very pleasant for me.-->>> The lecture was arranged for two o'clock.-->>> He speaks for the court.-->>> I could not sleep for the heat.-->>> Bake the cake for 40 minutes.-->>> I set off for work.-->>> Are you waiting for the bus?-->>> What did you do that for?-->>> We are for mutual understanding.-->>> She was named for her grandmother.-->>> Are you all right for money?-->>> I paid $3 for a ticket.-->>> We had pasta for lunch.-->>> She looks young for her age.-->>> Red is for danger.-->>> Let me carry that bag for you.-->>> Will you please act for me in the matter?-->>> We walked for miles.-->>> I looked after the kids for them.-->>> They show no respect for authority.-->>> He's been off work for a while.-->>> You'll feel better for a break.-->>> He writes for a weekly paper.-->>> These chairs are for the office.-->>> Here is a chance for everyone to learn new skills.-->>> Three cheers for the captain.,-->>> Давай прогуляемся. / Пойдём на прогулку. / Пошли погуляем.-->>> Я купил это за пять долларов.-->>> У меня есть для вас подарок.-->>> Холодновато для июля. (обычно теплее)-->>> Мне было очень приятно.-->>> Лекция была назначена на 2 часа.-->>> Он говорит от имени суда.-->>> Я не мог спать из-за жары.-->>> Выпекайте торт в течение сорока минут.-->>> Я отправился на работу.-->>> Вы ждете автобус?-->>> Для чего ты это сделал?-->>> Мы за взаимопонимание.-->>> Её назвали в честь бабушки.-->>> У тебя нормально с деньгами?-->>> Я заплатил три доллара за билет.-->>> На обед у нас были макароны.-->>> Для своего возраста она молодо выглядит.-->>> Красный цвет означает опасность.-->>> Разрешите мне понести вашу сумку.-->>> Прошу вас заняться этим вопросом вместо меня.-->>> Мы шли несколько миль.-->>> Я присматривала за детьми вместо них.-->>> Они не проявляют уважения к власти.-->>> Он уже некоторое время не ходит на работу.-->>> Сделаешь перерыв и почувствуешь себя лучше.-->>> Он пишет для еженедельника.-->>> Эти стулья для офиса.-->>> Это возможность для всех желающих освоить новые навыки /научиться чему-то новому/.-->>> Трижды ура капитану!,
"on 
", |ɑːn|,"на, по, о, в, об, согласно, левая сторона",-->>> What has she on?-->>> I came on my bike.-->>> Is the radio on?-->>> I was born on July 1st.-->>> The drinks are on me!-->>> Whose team are you on?-->>> Burton-on-Trent-->>> Can you stand on your head?-->>> Anything on tonight?-->>> What's on TV tonight?-->>> Who left all the lights on?-->>> They'll be here on Tuesday.-->>> Is Rachel still on the phone?-->>> Stratford-on-Avon-->>> Matt kissed her on the cheek.-->>> I don't have any money on me.-->>> The lid is on tight.-->>> He had a black suit on.-->>> She hung her coat on a hook.-->>> Are you still on antibiotics?-->>> There's a diagram on page 25.-->>> Is the cover on properly?-->>> You're on in two minutes.-->>> What time is 'Star Trek' on?-->>> The new price is 5 points on.-->>> I'll probably come on my bike.-->>> What's the next item on the agenda?-->>> Most buses run on diesel.-->>> He threw himself on the bed.-->>> The doctor put her on Prozac.,"-->>> Что на ней надето?-->>> Я приехал на велосипеде.-->>> Радио работает?-->>> Я родился первого июля.-->>> Выпивка — за мой счёт!-->>> В чьей ты команде?-->>> Бертон-на-Тренте-->>> Ты умеешь стоять на голове?-->>> Что-нибудь на сегодня запланировано?-->>> Что сегодня вечером по телевизору?-->>> Кто не выключил свет?-->>> Они будут здесь во вторник.-->>> Рэйчел всё ещё у телефона?-->>> Стратфорд-на-Эйвоне-->>> Мэтт поцеловал её в щёку.-->>> У меня при себе нет денег.-->>> Крышка закрыта плотно.-->>> На нём был чёрный костюм.-->>> Она повесила пальто на крючок.-->>> Вы по-прежнему употребляете антибиотики?-->>> На двадцать пятой странице есть диаграмма.-->>> Крышка правильно лежит?-->>> Ваш выход — через две минуты. (о выступлении на концерте или спектакле)-->>> Во сколько начинается (сериал) ""Звёздный путь""?-->>> Новая цена — на пять пунктов выше.-->>> Я, вероятно, приеду на велосипеде.-->>> Какой следующий пункт на повестке дня?-->>> Большинство автобусов работают на дизельном топливе.-->>> Он бросился на кровать.-->>> Доктор посадил её на прозак /флуоксетин/.",
"are 
", |ɑːr|,"быть, находиться, составлять, происходить, существовать, равняться, стоить, бывать",,,
"with 
", |wɪð|,"с, вместе с, от, несмотря на, напихать","-->>> Leave the child with me!-->>> Great Britain fought with France.-->>> I hope you're not angry with me.-->>> Off to bed with you!-->>> It is different with me.-->>> Down with school!-->>> She stood with her back to me.-->>> He was concerned with English.-->>> Be careful with that glass.-->>> She had her husband with her.-->>> Fill the bowl with sugar.-->>> Put this bag with the others.-->>> With all his faults, I still like him.-->>> Britain's trade with Japan-->>> We need someone with new ideas.-->>> We sailed with the wind.-->>> I used to play chess with him.-->>> What will you buy with the money?-->>> I was too weak with hunger to cry.-->>> We lay in bed with the window open.-->>> He prepared everything with great care.-->>> You're either with me or against me.-->>> They were trembling with fear.-->>> Her boots were covered with mud.-->>> I left your keys with the janitor.-->>> The pressure varies with the depth.-->>> I saw Bob in town with his girlfriend.-->>> I amused myself with crossword puzzles.-->>> Stop fighting with your brother!-->>> She's delighted with her new car.","-->>> Оставьте ребёнка у меня!-->>> Великобритания воевала на стороне Франции.-->>> Надеюсь, ты на меня не сердишься.-->>> А ну давай живо в кровать!-->>> Со мной дело обстоит иначе.-->>> К чёрту школу! / Долой школу!-->>> Она стояла ко мне спиной.-->>> Он занимался английским языком.-->>> Будьте осторожны с этим стеклом.-->>> С ней был её муж.-->>> Наполните миску сахаром.-->>> Поставьте этот мешок к остальным.-->>> При всех недостатках, он всё равно мне нравится.-->>> торговля Великобритании с Японией-->>> Нам нужен человек с новыми идеями.-->>> Мы плыли по ветру.-->>> Когда-то я играл с ним в шахматы.-->>> Что ты купишь на эти деньги?-->>> Я слишком ослаб от голода, чтобы плакать.-->>> Мы лежали в постели, с открытым окном.-->>> Он всё очень тщательно подготовил.-->>> Ты либо со мной, либо против меня.-->>> Они дрожали от страха.-->>> Её сапоги были покрыты грязью.-->>> Я оставил твои ключи вахтёру /дворнику/.-->>> Давление меняется в зависимости от глубины.-->>> В городе я видел Боба с его подругой /девушкой/.-->>> Я развлекался кроссвордами.-->>> Прекрати драться со своим братом!-->>> Она в восторге от своего нового автомобиля.",
